V1,V2,V3,V4
2,50,12500.0,98
0,13,3250.0,28
1,16,4000.0,35
2,20,5000.0,45
1,24,6000.0,77
4,4,1000.0,4
2,7,1750.0,14
1,12,3000.0,35
2,9,2250.0,22
5,46,11500.0,98
4,23,5750.0,58
0,3,750.0,4
2,10,2500.0,28
1,13,3250.0,47
2,6,1500.0,15
2,5,1250.0,11
2,14,3500.0,48
2,15,3750.0,49
2,6,1500.0,15
2,3,750.0,4
2,3,750.0,4
4,11,2750.0,28
2,6,1500.0,16
2,6,1500.0,16
9,9,2250.0,16
4,14,3500.0,40
4,6,1500.0,14
4,12,3000.0,34
4,5,1250.0,11
4,8,2000.0,21
1,14,3500.0,58
4,10,2500.0,28
4,10,2500.0,28
4,9,2250.0,26
2,16,4000.0,64
2,8,2000.0,28
2,12,3000.0,47
4,6,1500.0,16
2,14,3500.0,57
4,7,1750.0,22
2,13,3250.0,53
2,5,1250.0,16
2,5,1250.0,16
2,5,1250.0,16
4,20,5000.0,69
4,9,2250.0,28
2,9,2250.0,36
2,2,500.0,2
2,2,500.0,2
2,2,500.0,2
2,11,2750.0,46
2,11,2750.0,46
2,6,1500.0,22
2,12,3000.0,52
4,5,1250.0,14
4,19,4750.0,69
4,8,2000.0,26
2,7,1750.0,28
2,16,4000.0,81
3,6,1500.0,21
2,7,1750.0,29
2,8,2000.0,35
2,10,2500.0,49
4,5,1250.0,16
2,3,750.0,9
3,16,4000.0,74
2,4,1000.0,14
0,2,500.0,4
4,7,1750.0,25
1,9,2250.0,51
2,4,1000.0,16
2,4,1000.0,16
4,17,4250.0,71
2,2,500.0,4
2,2,500.0,4
2,2,500.0,4
2,4,1000.0,16
2,2,500.0,4
2,2,500.0,4
2,2,500.0,4
4,6,1500.0,23
2,4,1000.0,16
2,4,1000.0,16
2,4,1000.0,16
2,6,1500.0,28
2,6,1500.0,28
4,2,500.0,4
4,2,500.0,4
4,2,500.0,4
2,7,1750.0,35
4,2,500.0,4
4,2,500.0,4
4,2,500.0,4
4,2,500.0,4
12,11,2750.0,23
4,7,1750.0,28
3,17,4250.0,86
4,9,2250.0,38
4,4,1000.0,14
5,7,1750.0,26
4,8,2000.0,34
2,13,3250.0,76
4,9,2250.0,40
2,5,1250.0,26
2,5,1250.0,26
6,17,4250.0,70
0,8,2000.0,59
3,5,1250.0,26
2,3,750.0,14
2,10,2500.0,64
4,5,1250.0,23
4,9,2250.0,46
4,5,1250.0,23
4,8,2000.0,40
2,12,3000.0,82
11,24,6000.0,64
2,7,1750.0,46
4,11,2750.0,61
1,7,1750.0,57
2,11,2750.0,79
2,3,750.0,16
4,5,1250.0,26
2,6,1500.0,41
2,5,1250.0,33
2,4,1000.0,26
2,5,1250.0,34
4,8,2000.0,46
2,4,1000.0,26
4,8,2000.0,48
2,2,500.0,10
4,5,1250.0,28
2,12,3000.0,95
2,2,500.0,10
4,6,1500.0,35
2,11,2750.0,88
2,3,750.0,19
2,5,1250.0,37
2,12,3000.0,98
9,5,1250.0,19
2,2,500.0,11
2,9,2250.0,74
5,14,3500.0,86
4,3,750.0,16
4,3,750.0,16
4,2,500.0,9
4,3,750.0,16
6,3,750.0,14
2,2,500.0,11
2,2,500.0,11
2,2,500.0,11
2,7,1750.0,58
4,6,1500.0,39
4,11,2750.0,78
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
11,10,2500.0,35
11,4,1000.0,16
4,5,1250.0,33
4,6,1500.0,41
2,3,750.0,22
4,4,1000.0,26
10,4,1000.0,16
2,4,1000.0,35
4,12,3000.0,88
13,8,2000.0,26
11,9,2250.0,33
4,5,1250.0,34
4,4,1000.0,26
8,15,3750.0,77
4,5,1250.0,35
4,7,1750.0,52
4,7,1750.0,52
2,4,1000.0,35
11,11,2750.0,42
2,2,500.0,14
2,5,1250.0,47
9,8,2000.0,38
4,6,1500.0,47
11,7,1750.0,29
9,9,2250.0,45
4,6,1500.0,52
4,7,1750.0,58
6,2,500.0,11
4,7,1750.0,58
11,9,2250.0,38
11,6,1500.0,26
2,2,500.0,16
2,7,1750.0,76
11,6,1500.0,27
11,3,750.0,14
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,3,750.0,24
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
10,8,2000.0,39
14,7,1750.0,26
8,10,2500.0,63
11,3,750.0,15
4,2,500.0,14
2,4,1000.0,43
8,9,2250.0,58
8,8,2000.0,52
11,22,5500.0,98
4,3,750.0,25
11,17,4250.0,79
9,2,500.0,11
4,5,1250.0,46
11,12,3000.0,58
7,12,3000.0,86
11,2,500.0,11
11,2,500.0,11
11,2,500.0,11
2,6,1500.0,75
11,8,2000.0,41
11,3,750.0,16
12,13,3250.0,59
2,3,750.0,35
16,8,2000.0,28
11,7,1750.0,37
4,3,750.0,28
12,12,3000.0,58
4,4,1000.0,41
11,14,3500.0,73
2,2,500.0,23
2,3,750.0,38
4,5,1250.0,58
4,4,1000.0,43
3,2,500.0,23
11,8,2000.0,46
4,7,1750.0,82
13,4,1000.0,21
16,11,2750.0,40
16,7,1750.0,28
7,2,500.0,16
4,5,1250.0,58
4,5,1250.0,58
4,4,1000.0,46
14,13,3250.0,57
4,3,750.0,34
14,18,4500.0,78
11,8,2000.0,48
14,16,4000.0,70
14,4,1000.0,22
14,5,1250.0,26
8,2,500.0,16
11,5,1250.0,33
11,2,500.0,14
4,2,500.0,23
9,2,500.0,16
14,5,1250.0,28
14,3,750.0,19
14,4,1000.0,23
16,12,3000.0,50
11,4,1000.0,28
11,5,1250.0,35
11,5,1250.0,35
2,4,1000.0,70
14,5,1250.0,28
14,2,500.0,14
14,2,500.0,14
14,2,500.0,14
14,2,500.0,14
14,2,500.0,14
14,2,500.0,14
2,3,750.0,52
14,6,1500.0,34
11,5,1250.0,37
4,5,1250.0,74
11,3,750.0,23
16,4,1000.0,23
16,3,750.0,19
11,5,1250.0,38
11,2,500.0,16
12,9,2250.0,60
9,1,250.0,9
9,1,250.0,9
4,2,500.0,29
11,2,500.0,17
14,4,1000.0,26
11,9,2250.0,72
11,5,1250.0,41
15,16,4000.0,82
9,5,1250.0,51
11,4,1000.0,34
14,8,2000.0,50
16,7,1750.0,38
14,2,500.0,16
2,2,500.0,41
14,16,4000.0,98
14,4,1000.0,28
16,7,1750.0,39
14,7,1750.0,47
16,6,1500.0,35
16,6,1500.0,35
11,7,1750.0,62
16,2,500.0,16
16,3,750.0,21
11,3,750.0,28
11,7,1750.0,64
11,1,250.0,11
9,3,750.0,34
14,4,1000.0,30
23,38,9500.0,98
11,6,1500.0,58
11,1,250.0,11
11,1,250.0,11
11,1,250.0,11
11,1,250.0,11
11,1,250.0,11
11,1,250.0,11
11,1,250.0,11
11,1,250.0,11
11,2,500.0,21
11,5,1250.0,50
11,2,500.0,21
16,4,1000.0,28
4,2,500.0,41
16,6,1500.0,40
14,3,750.0,26
9,2,500.0,26
21,16,4000.0,64
14,6,1500.0,51
11,2,500.0,24
4,3,750.0,71
21,13,3250.0,57
11,6,1500.0,71
14,2,500.0,21
23,15,3750.0,57
14,4,1000.0,38
11,2,500.0,26
16,5,1250.0,40
4,2,500.0,51
14,3,750.0,31
4,2,500.0,52
9,4,1000.0,65
14,4,1000.0,40
11,3,750.0,40
14,5,1250.0,50
14,1,250.0,14
14,1,250.0,14
14,1,250.0,14
14,1,250.0,14
14,1,250.0,14
14,1,250.0,14
14,1,250.0,14
14,1,250.0,14
14,7,1750.0,72
14,1,250.0,14
14,1,250.0,14
9,3,750.0,52
14,7,1750.0,73
11,4,1000.0,58
11,4,1000.0,59
4,2,500.0,59
11,4,1000.0,61
16,4,1000.0,40
16,10,2500.0,89
21,2,500.0,21
21,3,750.0,26
16,8,2000.0,76
21,3,750.0,26
18,2,500.0,23
23,5,1250.0,33
23,8,2000.0,46
16,3,750.0,34
14,5,1250.0,64
14,3,750.0,41
16,1,250.0,16
16,1,250.0,16
16,1,250.0,16
16,1,250.0,16
16,1,250.0,16
16,1,250.0,16
16,1,250.0,16
16,4,1000.0,45
16,1,250.0,16
16,1,250.0,16
16,1,250.0,16
16,1,250.0,16
16,1,250.0,16
16,2,500.0,26
21,2,500.0,23
16,2,500.0,27
21,2,500.0,23
21,2,500.0,23
14,4,1000.0,57
16,5,1250.0,60
23,2,500.0,23
14,5,1250.0,74
23,3,750.0,28
16,3,750.0,40
9,2,500.0,52
9,2,500.0,52
16,7,1750.0,87
14,4,1000.0,64
14,2,500.0,35
16,7,1750.0,93
21,2,500.0,25
14,3,750.0,52
23,14,3500.0,93
18,8,2000.0,95
16,3,750.0,46
11,3,750.0,76
11,2,500.0,52
11,3,750.0,76
23,12,3000.0,86
21,3,750.0,35
23,2,500.0,26
23,2,500.0,26
23,8,2000.0,64
16,3,750.0,50
23,3,750.0,33
21,3,750.0,38
23,2,500.0,28
21,1,250.0,21
21,1,250.0,21
21,1,250.0,21
21,1,250.0,21
21,1,250.0,21
21,1,250.0,21
21,1,250.0,21
21,1,250.0,21
21,1,250.0,21
21,1,250.0,21
21,1,250.0,21
21,1,250.0,21
21,5,1250.0,60
23,4,1000.0,45
21,4,1000.0,52
22,1,250.0,22
11,2,500.0,70
23,5,1250.0,58
23,3,750.0,40
23,3,750.0,41
14,3,750.0,83
21,2,500.0,35
26,5,1250.0,49
23,6,1500.0,70
23,1,250.0,23
23,1,250.0,23
23,1,250.0,23
23,1,250.0,23
23,1,250.0,23
23,1,250.0,23
23,1,250.0,23
23,1,250.0,23
23,4,1000.0,53
21,6,1500.0,86
23,3,750.0,48
21,2,500.0,41
21,3,750.0,64
16,2,500.0,70
21,3,750.0,70
23,4,1000.0,87
23,3,750.0,89
23,2,500.0,87
35,3,750.0,64
38,1,250.0,38
38,1,250.0,38
40,1,250.0,40
74,1,250.0,74
2,43,10750.0,86
6,22,5500.0,28
2,34,8500.0,77
2,44,11000.0,98
0,26,6500.0,76
2,41,10250.0,98
3,21,5250.0,42
2,11,2750.0,23
2,21,5250.0,52
2,13,3250.0,32
4,4,1000.0,4
2,11,2750.0,26
2,11,2750.0,28
3,14,3500.0,35
4,16,4000.0,38
4,6,1500.0,14
3,5,1250.0,12
4,33,8250.0,98
3,10,2500.0,33
4,10,2500.0,28
2,11,2750.0,40
2,11,2750.0,41
4,13,3250.0,39
1,10,2500.0,43
4,9,2250.0,28
2,4,1000.0,11
2,5,1250.0,16
2,15,3750.0,64
5,24,6000.0,79
2,6,1500.0,22
4,5,1250.0,16
2,4,1000.0,14
4,8,2000.0,28
2,4,1000.0,14
2,6,1500.0,26
4,5,1250.0,16
2,7,1750.0,32
2,6,1500.0,26
2,8,2000.0,38
2,2,500.0,4
2,6,1500.0,28
2,10,2500.0,52
4,16,4000.0,70
4,2,500.0,4
1,14,3500.0,95
4,2,500.0,4
7,14,3500.0,48
2,3,750.0,11
2,12,3000.0,70
4,7,1750.0,32
4,4,1000.0,16
2,6,1500.0,35
4,6,1500.0,28
2,3,750.0,14
2,4,1000.0,23
4,4,1000.0,18
5,6,1500.0,28
4,6,1500.0,30
14,5,1250.0,14
3,8,2000.0,50
4,11,2750.0,64
4,9,2250.0,52
4,16,4000.0,98
7,10,2500.0,47
4,14,3500.0,86
2,9,2250.0,75
4,6,1500.0,35
4,9,2250.0,55
4,6,1500.0,35
2,6,1500.0,45
2,6,1500.0,47
4,2,500.0,9
2,2,500.0,11
2,2,500.0,11
2,2,500.0,11
4,6,1500.0,38
3,4,1000.0,29
9,9,2250.0,38
11,5,1250.0,18
2,3,750.0,21
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
2,1,250.0,2
11,11,2750.0,38
2,3,750.0,22
9,11,2750.0,49
5,11,2750.0,75
3,5,1250.0,38
3,1,250.0,3
4,6,1500.0,43
2,3,750.0,24
12,11,2750.0,39
2,2,500.0,14
4,6,1500.0,46
9,3,750.0,14
14,8,2000.0,26
4,2,500.0,13
4,11,2750.0,95
2,7,1750.0,77
2,7,1750.0,77
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,1,250.0,4
4,7,1750.0,62
4,1,250.0,4
4,4,1000.0,34
11,6,1500.0,28
13,3,750.0,14
7,5,1250.0,35
9,9,2250.0,54
11,2,500.0,11
2,5,1250.0,63
7,11,2750.0,89
8,9,2250.0,64
2,2,500.0,22
6,3,750.0,26
12,15,3750.0,71
13,3,750.0,16
11,16,4000.0,89
4,5,1250.0,58
14,7,1750.0,35
11,4,1000.0,27
7,9,2250.0,89
11,8,2000.0,52
7,5,1250.0,52
11,6,1500.0,41
10,5,1250.0,38
14,2,500.0,14
14,2,500.0,14
14,2,500.0,14
2,2,500.0,33
11,3,750.0,23
14,8,2000.0,46
9,1,250.0,9
16,5,1250.0,27
14,4,1000.0,26
4,2,500.0,30
14,3,750.0,21
16,16,4000.0,77
4,2,500.0,31
14,8,2000.0,50
11,3,750.0,26
14,7,1750.0,45
15,5,1250.0,33
16,2,500.0,16
16,3,750.0,21
11,8,2000.0,72
11,1,250.0,11
11,1,250.0,11
11,1,250.0,11
11,1,250.0,11
11,1,250.0,11
2,3,750.0,75
2,3,750.0,77
16,4,1000.0,28
16,15,3750.0,87
16,14,3500.0,83
16,10,2500.0,62
16,3,750.0,23
14,3,750.0,26
23,19,4750.0,62
11,7,1750.0,75
14,3,750.0,28
