V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
Sexy,Low,4.6,M,Summer,o-neck,sleevless,empire,,chiffon,ruffles,animal
Casual,Low,0.0,L,Summer,o-neck,Petal,natural,microfiber,,ruffles,animal
vintage,High,0.0,L,Automn,o-neck,full,natural,polyster,,,print
Brief,Average,4.6,L,Spring,o-neck,full,natural,silk,chiffon,embroidary,print
cute,Low,4.5,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot
bohemian,Low,0.0,M,Summer,v-neck,sleevless,empire,,,,print
Casual,Average,0.0,XL,Summer,o-neck,full,,cotton,,,solid
Novelty,Average,0.0,free,Automn,o-neck,short,natural,polyster,broadcloth,lace,
Flare,Average,0.0,free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid
bohemian,Low,0.0,free,Summer,v-neck,sleevless,natural,nylon,chiffon,,
party,Average,5.0,free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid
Flare,Average,0.0,free,Spring,v-neck,short,,nylon,,,animal
sexy,Low,4.7,M,Winter,o-neck,threequarter,,,chiffon,lace,print
vintage,Average,4.8,M,Summer,o-neck,short,empire,cotton,jersey,,animal
Casual,Low,5.0,M,Summer,boat-neck,short,,cotton,,sashes,solid
Casual,Low,0.0,free,Winter,boat-neck,full,,other,other,lace,
cute,Average,4.7,L,spring,o-neck,short,,cotton,,sashes,solid
bohemian,Medium,5.0,free,Automn,o-neck,full,natural,,,hollowout,patchwork
Brief,Average,0.0,M,Winter,peterpan-collor,threequarter,natural,cotton,,,patchwork
Sexy,Average,5.0,M,Automn,o-neck,sleevless,empire,milksilk,,,
Sexy,Average,4.5,L,Automn,o-neck,full,,cotton,,beading,solid
Casual,Low,4.3,M,Summer,o-neck,sleevless,natural,,chiffon,,solid
Brief,Low,4.0,XL,Summer,v-neck,short,natural,cotton,,pockets,solid
Sexy,Average,4.7,S,Summer,v-neck,sleevless,empire,cotton,,sequined,solid
Sexy,Average,0.0,free,Automn,v-neck,sleevless,natural,polyster,,lace,patchwork
Sexy,Average,0.0,M,Automn,o-neck,sleevless,empire,cotton,broadcloth,,print
Sexy,Average,4.7,M,Spring,o-neck,sleevless,natural,,,,solid
Casual,Low,0.0,L,Summer,o-neck,sleevless,natural,cotton,jersey,,print
cute,Low,4.3,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,striped
cute,Low,4.7,M,Spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot
Casual,Average,4.6,L,Automn,o-neck,sleevless,empire,polyster,chiffon,ruffles,solid
Casual,Low,0.0,M,Spring,o-neck,sleevless,natural,silk,chiffon,applique,solid
Casual,Average,4.4,L,Automn,o-neck,sleevless,natural,linen,chiffon,ruffles,animal
Brief,Average,4.3,L,Spring,o-neck,sleevless,empire,,,bow,solid
party,High,4.7,M,Spring,o-neck,threequarter,,,,,print
Casual,Low,4.6,free,Winter,boat-neck,full,natural,cotton,,,patchwork
vintage,Average,4.6,free,Winter,o-neck,full,natural,,chiffon,,print
Brief,Average,0.0,M,Automn,o-neck,short,natural,cotton,,,print
party,Average,4.6,M,Winter,o-neck,sleevless,natural,cotton,,lace,solid
Casual,Average,4.5,M,Spring,v-neck,short,empire,cotton,,button,solid
Brief,Average,5.0,free,Spring,v-neck,sleevless,natural,cotton,broadcloth,lace,solid
Brief,Low,4.4,L,Automn,o-neck,halfsleeve,natural,rayon,chiffon,sashes,solid
Casual,Average,4.8,M,Winter,o-neck,short,natural,lycra,broadcloth,applique,patchwork
Casual,Low,4.8,free,Spring,o-neck,sleevless,natural,cotton,,,print
vintage,Average,4.8,M,Winter,o-neck,sleevless,natural,cotton,,,patchwork
Sexy,Average,0.0,M,Winter,o-neck,short,natural,,,lace,solid
Sexy,Average,4.8,L,Spring,v-neck,threequarter,empire,polyster,,lace,geometric
Casual,Average,0.0,M,Summer,o-neck,halfsleeve,natural,cotton,chiffon,ruffles,dot
Casual,Low,4.7,M,Summer,o-neck,sleevless,empire,milksilk,,,solid
Casual,Medium,0.0,L,Winter,boat-neck,full,empire,,,,solid
